position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1385,Jude Deveraux,https://www.hebban.nl/auteur/jude-deveraux,7,33,267,2,113,33,3,,,,
1386,Hannelore Bedert,https://www.hebban.nl/auteur/hannelore-bedert,22,18,380,5,380,18,53,6,1,3,
1387,Marian Werkman,https://www.hebban.nl/auteur/marian-werkman,38,2,35,1,35,2,2,,,,
1388,Wouter Helders,https://www.hebban.nl/auteur/wouter-helders,30,10,166,6,135,10,63,3,,4,
1389,Juultje van den Nieuwenhof,https://www.hebban.nl/auteur/juultje-van-den-nieuwenhof,23,17,298,3,168,17,35,1,1,3,
1390,Lemony Snicket,https://www.hebban.nl/auteur/lemony-snicket,7,33,360,6,144,33,4,,,1,
1391,Fausto Brizzi,https://www.hebban.nl/auteur/fausto-brizzi,15,25,374,9,228,25,44,4,,1,
1392,Steffen Jacobsen,https://www.hebban.nl/auteur/steffen-jacobsen,32,8,219,0,156,8,22,,,1,
1393,Michelle Gagnon,https://www.hebban.nl/auteur/michelle-gagnon,15,25,225,4,150,25,19,1,,2,
1394,M. Terveel,https://www.hebban.nl/auteur/m-terveel,40,,15,0,6,0,12,,,1,
1395,Anja Maas,https://www.hebban.nl/auteur/anja-maas,35,5,87,3,109,5,19,,,1,
1396,Tamara McKinley,https://www.hebban.nl/auteur/tamara-mckinley,16,24,760,15,352,24,27,,,6,
1397,A.J. Kazinski,https://www.hebban.nl/auteur/aj-kazinski,24,15,213,8,177,15,19,1,,1,
1398,Sophie Jordan,https://www.hebban.nl/auteur/sophie-jordan,18,21,382,4,218,21,7,,,,
1399,Grazia Hattem-Le Clercq,https://www.hebban.nl/auteur/grazia-hattem-le-clercq,36,3,5,0,1,3,0,,,,
1400,Aldous Huxley,https://www.hebban.nl/auteur/aldous-huxley,3,36,582,11,177,36,7,,,3,
1401,Jojanneke Buschgens,https://www.hebban.nl/auteur/jojanneke-buschgens,31,8,40,2,45,8,14,,,,
1402,Joachim Meyerhoff,https://www.hebban.nl/auteur/joachim-meyerhoff,12,27,295,13,243,27,37,3,,,
